Title,Studio,Genre,Year,Gross,PercentDomestic,Rotten,IMDB,Rating,Days,Budget
Les Miserables (2012),Uni.,Drama,2012,437700000,0.34,69,7.7,PG-13,101,61
Terminator 3: Rise of the Machines,WB,Action/Adventure,2003,433400000,0.347,70,6.4,R,121,200
The Mummy Returns,Uni.,Action/Adventure,2001,433000000,0.467,47,6.2,PG-13,154,98
Cast Away,Fox,Action/Adventure,2000,429600000,0.544,90,7.6,PG-13,175,90
The Matrix Revolutions,WB,Action/Adventure,2003,427300000,0.326,36,6.6,R,121,150
The Mummy,Uni.,Action/Adventure,1999,415900000,0.374,55,6.9,PG-13,133,80
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,Action/Adventure,2010,415700000,0.251,49,6.3,PG,126,155
Night at the Museum: Battle of the Smithsonian,Fox,Action/Adventure,2009,413100000,0.429,43,5.8,PG,168,150
Batman,WB,Action/Adventure,1989,411300000,0.611,70,7.6,PG-13,175,35
The Bodyguard,WB,Drama,1992,411000000,0.297,32,5.8,R,143,
X2: X-Men United,Fox,Action/Adventure,2003,407700000,0.527,87,7.5,PG-13,147,110
Prometheus,Fox,Action/Adventure,2012,403400000,0.314,74,7.1,R,105,130
The Mummy: Tomb of the Dragon Emperor,Uni.,Action/Adventure,2008,401100000,0.256,13,5.2,PG-13,56,145
Mission: Impossible III,Par.,Action/Adventure,2006,397900000,0.337,70,6.8,PG-13,76,150
Snow White and the Huntsman,Uni.,Action/Adventure,2012,396600000,0.392,48,6.2,PG-13,98,170
Grease,Par.,Comedy,1978,395000000,0.478,80,7.1,PG-13,153,6
Superman Returns,WB,Action/Adventure,2006,391100000,0.512,75,6.2,PG-13,128,270
Robin Hood: Prince of Thieves,WB,Action/Adventure,1991,390500000,0.424,59,6.8,PG-13,164,48
Raiders of the Lost Ark,Par.,Action/Adventure,1981,389900000,0.636,95,8.6,PG,280,18
Star Trek,Par.,Action/Adventure,2009,385700000,0.668,95,8,PG-13,147,150
Happy Feet,WB,Animation,2006,384300000,0.515,75,6.5,PG,175,100
Live Free or Die Hard,Fox,Action/Adventure,2007,383500000,0.351,81,7.3,PG-13,135,110
Ice Age,Fox,Animation,2002,383300000,0.46,77,7.5,PG,171,59
Back to the Future,Uni.,Action/Adventure,1985,381100000,0.553,96,8.5,PG,141,19
Godzilla,Sony,Action/Adventure,1998,379000000,0.36,25,5.2,PG-13,133,130
True Lies,Fox,Action/Adventure,1994,378900000,0.386,72,7.2,R,147,115
